OrderID,ProductID,ProductName,ProductCategory,Month,DayOfTheMonth,PurchaseCity,QuantityOrdered,TotalRevenue
162009,2181,iPhone,Mobile Phone,3,28,Austin,1,700
162009,2264,Lightning Charging Cable,Charging Cable,3,28,Austin,1,14.95
162009,4507,Wired Headphones,Headphone,3,28,Austin,2,23.98
162010,1358,Bose SoundSport Headphones,Headphone,3,17,San Francisco,1,99.99
162012,2263,AA Batteries (4-pack),Batteries,3,20,San Francisco,1,3.84
162013,1644,34in Ultrawide Monitor,Monitor,3,15,Austin,1,379.99
162016,3486,AAA Batteries (4-pack),Batteries,3,19,Atlanta,5,14.95
162018,2765,USB-C Charging Cable,Charging Cable,3,18,Portland,2,23.9
162020,4616,LG Washing Machine,Washing Machine,3,26,Dallas,1,600
162021,4507,Wired Headphones,Headphone,3,30,Los Angeles,1,11.99
162022,2263,AA Batteries (4-pack),Batteries,3,17,New York City,1,3.84
162024,3959,27in 4K Gaming Monitor,Monitor,3,17,Atlanta,1,389.99
162026,2181,iPhone,Mobile Phone,3,22,Austin,1,700
162027,3486,AAA Batteries (4-pack),Batteries,3,16,Los Angeles,1,2.99
162028,3486,AAA Batteries (4-pack),Batteries,3,20,San Francisco,3,8.97
162029,3486,AAA Batteries (4-pack),Batteries,3,26,Atlanta,1,2.99
162031,2264,Lightning Charging Cable,Charging Cable,3,28,Boston,1,14.95
162032,2264,Lightning Charging Cable,Charging Cable,3,31,Los Angeles,1,14.95
162033,2181,iPhone,Mobile Phone,3,19,Dallas,1,700
162034,2765,USB-C Charging Cable,Charging Cable,3,26,Seattle,1,11.95
162037,2181,iPhone,Mobile Phone,3,23,Los Angeles,1,700
162037,2264,Lightning Charging Cable,Charging Cable,3,23,Los Angeles,1,14.95
162038,3486,AAA Batteries (4-pack),Batteries,3,18,Atlanta,2,5.98
162039,2263,AA Batteries (4-pack),Batteries,3,29,San Francisco,1,3.84
162040,2765,USB-C Charging Cable,Charging Cable,3,25,Austin,1,11.95
162041,2629,Apple Airpods Headphones,Headphone,3,14,Austin,1,150
162043,2263,AA Batteries (4-pack),Batteries,3,29,Atlanta,1,3.84
162044,1249,27in FHD Monitor,Monitor,3,22,Dallas,1,149.99
162045,2629,Apple Airpods Headphones,Headphone,3,26,New York City,1,150
162046,3486,AAA Batteries (4-pack),Batteries,3,20,San Francisco,2,5.98
162048,2263,AA Batteries (4-pack),Batteries,3,31,New York City,1,3.84
162049,2264,Lightning Charging Cable,Charging Cable,3,25,Austin,1,14.95
162050,3486,AAA Batteries (4-pack),Batteries,3,26,Boston,1,2.99
162054,4507,Wired Headphones,Headphone,3,20,San Francisco,1,11.99
162055,2263,AA Batteries (4-pack),Batteries,3,29,Los Angeles,1,3.84
162056,4507,Wired Headphones,Headphone,3,17,San Francisco,1,11.99
162057,4507,Wired Headphones,Headphone,3,30,Los Angeles,1,11.99
162058,1249,27in FHD Monitor,Monitor,3,30,New York City,1,149.99
162062,3486,AAA Batteries (4-pack),Batteries,3,24,Portland,1,2.99
162066,2263,AA Batteries (4-pack),Batteries,3,13,New York City,1,3.84
162066,2765,USB-C Charging Cable,Charging Cable,3,13,New York City,2,23.9
162068,4507,Wired Headphones,Headphone,3,24,Austin,1,11.99
